Distance,Velocity,Theta,gamma0,gamma1,No Collision,Safety Loss,Deadlock Time,Simulation Time
0.15,0.01,0.01,0.5,0.5,True,0.0644075398253039,0.35,4.299999999999993
0.15,0.01,0.01,0.5,0.9,True,0.0633460608321164,0.35,4.249999999999993
0.15,0.01,0.01,0.5,1.3,True,0.0625195097871971,0.35,4.249999999999993
0.15,0.01,0.01,0.5,1.7000000000000002,True,0.061821311941546,0.35,4.249999999999993
0.15,0.01,0.01,0.5,2.1,True,0.0612503470722421,0.35,4.249999999999993
0.15,0.01,0.01,0.5,2.5,True,0.060685603564101,0.35,4.249999999999993
0.15,0.01,0.01,0.9,0.5,True,0.0633460608321164,0.35,4.249999999999993
0.15,0.01,0.01,0.9,0.9,True,0.0618085808361058,0.35,4.249999999999993
0.15,0.01,0.01,0.9,1.3,True,0.0606606600094365,0.35,4.249999999999993
0.15,0.01,0.01,0.9,1.7000000000000002,True,0.0596883696255749,0.35,4.249999999999993
0.15,0.01,0.01,0.9,2.1,True,0.058849979872501,0.35,4.249999999999993
0.15,0.01,0.01,0.9,2.5,True,0.0581494462796834,0.35,4.249999999999993
0.15,0.01,0.01,1.3,0.5,True,0.0625195097871971,0.35,4.249999999999993
0.15,0.01,0.01,1.3,0.9,True,0.0606606600094365,0.35,4.249999999999993
0.15,0.01,0.01,1.3,1.3,True,0.0592310578405919,0.35,4.249999999999993
0.15,0.01,0.01,1.3,1.7000000000000002,True,0.0582272934259452,0.35,4.249999999999993
0.15,0.01,0.01,1.3,2.1,True,0.0577726329229298,0.35,4.249999999999993
0.15,0.01,0.01,1.3,2.5,True,0.0567262798564495,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,0.5,True,0.061821311941546,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,0.9,True,0.0596883696255749,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,1.3,True,0.0582272934259452,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,1.7000000000000002,True,0.0571530531753282,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,2.1,True,0.0569255842079586,0.35,4.249999999999993
0.15,0.01,0.01,1.7000000000000002,2.5,True,0.0564944803889578,0.35,4.249999999999993
0.15,0.01,0.01,2.1,0.5,True,0.0612503470722421,0.35,4.249999999999993
0.15,0.01,0.01,2.1,0.9,True,0.058849979872501,0.35,4.249999999999993
0.15,0.01,0.01,2.1,1.3,True,0.0577726329229298,0.35,4.249999999999993
0.15,0.01,0.01,2.1,1.7000000000000002,True,0.0569255842079586,0.35,4.249999999999993
0.15,0.01,0.01,2.1,2.1,True,0.0563840945072389,0.35,4.249999999999993
0.15,0.01,0.01,2.1,2.5,True,0.0550255252126889,0.35,4.249999999999993
0.15,0.01,0.01,2.5,0.5,True,0.060685603564101,0.35,4.249999999999993
0.15,0.01,0.01,2.5,0.9,True,0.0581494462796834,0.35,4.249999999999993
0.15,0.01,0.01,2.5,1.3,True,0.0567262798564495,0.35,4.249999999999993
0.15,0.01,0.01,2.5,1.7000000000000002,True,0.0564944803889578,0.35,4.249999999999993
0.15,0.01,0.01,2.5,2.1,True,0.0550255252126889,0.35,4.249999999999993
0.15,0.01,0.01,2.5,2.5,True,0.0543603741316445,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.5,0.5,True,0.0646605881648419,0.35,4.299999999999993
0.15,0.01,0.3221592653589793,0.5,0.9,True,0.0635877595499146,0.35,4.299999999999993
0.15,0.01,0.3221592653589793,0.5,1.3,True,0.0627505480967921,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.5,1.7000000000000002,True,0.062047492206034,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.5,2.1,True,0.0614511684419957,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.5,2.5,True,0.0609085250070236,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.9,0.5,True,0.0635877595499146,0.35,4.299999999999993
0.15,0.01,0.3221592653589793,0.9,0.9,True,0.0620277845249728,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.9,1.3,True,0.0608498079111896,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.9,1.7000000000000002,True,0.0599153464045847,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.9,2.1,True,0.0591478320290949,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,0.9,2.5,True,0.0584875394681772,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,0.5,True,0.0627505480967921,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,0.9,True,0.0608498079111896,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,1.3,True,0.0594553785330194,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,1.7000000000000002,True,0.0585265299521922,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,2.1,True,0.0577876644814769,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.3,2.5,True,0.0572039180934015,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,0.5,True,0.062047492206034,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,0.9,True,0.0599153464045847,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,1.3,True,0.0585265299521922,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,1.7000000000000002,True,0.0575936006220714,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,2.1,True,0.0569589110030183,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,1.7000000000000002,2.5,True,0.0564187742752704,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,0.5,True,0.0614511684419957,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,0.9,True,0.0591478320290949,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,1.3,True,0.0577876644814769,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,1.7000000000000002,True,0.0569589110030183,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,2.1,True,0.056299261572241,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.1,2.5,True,0.0557672750669617,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,0.5,True,0.0609085250070236,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,0.9,True,0.0584875394681772,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,1.3,True,0.0572039180934015,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,1.7000000000000002,True,0.0564187742752704,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,2.1,True,0.0557672750669617,0.35,4.249999999999993
0.15,0.01,0.3221592653589793,2.5,2.5,True,0.0553443634448527,0.35,4.249999999999993
0.15,0.01,0.6343185307179586,0.5,0.5,True,0.0662448756011919,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.5,0.9,True,0.06508160164151,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.5,1.3,True,0.0641581363568629,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.5,1.7000000000000002,True,0.0634043075092551,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.5,2.1,True,0.0627698262517795,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.5,2.5,True,0.062152258391839,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.9,0.5,True,0.06508160164151,0.35,4.299999999999993
0.15,0.01,0.6343185307179586,0.9,0.9,True,0.0633570752742425,0.35,4.299999999999993
