Distance,Velocity,Theta,gamma0,gamma1,No Collision,Safety Loss,Deadlock Time,Simulation Time
0.15000000000000002,0.01,0.01,0.5,0.5,True,0.0644075398253039,0.35,4.299999999999993
0.15000000000000002,0.01,0.01,0.5,0.9,True,0.06334606083211643,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.5,1.3,True,0.06251950978719711,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.5,1.7000000000000002,True,0.06182131194154601,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.5,2.1,True,0.061250347072242174,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.5,2.5,True,0.060685603564101,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,0.5,True,0.06334606083211643,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,0.9,True,0.06180858083610584,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,1.3,True,0.060660660009436554,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,1.7000000000000002,True,0.05968836962557493,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,2.1,True,0.058849979872501,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,0.9,2.5,True,0.05814944627968344,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,0.5,True,0.06251950978719711,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,0.9,True,0.060660660009436554,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,1.3,True,0.059231057840591975,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,1.7000000000000002,True,0.058227293425945265,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,2.1,True,0.05777263292292986,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.3,2.5,True,0.05672627985644953,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,0.5,True,0.06182131194154601,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,0.9,True,0.05968836962557493,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,1.3,True,0.058227293425945265,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,1.7000000000000002,True,0.05715305317532823,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,2.1,True,0.05692558420795863,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,1.7000000000000002,2.5,True,0.05649448038895783,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,0.5,True,0.061250347072242174,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,0.9,True,0.058849979872501,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,1.3,True,0.05777263292292986,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,1.7000000000000002,True,0.05692558420795863,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,2.1,True,0.05638409450723891,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.1,2.5,True,0.055025525212688955,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,0.5,True,0.060685603564101,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,0.9,True,0.05814944627968344,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,1.3,True,0.05672627985644953,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,1.7000000000000002,True,0.05649448038895783,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,2.1,True,0.055025525212688955,0.35,4.249999999999993
0.15000000000000002,0.01,0.01,2.5,2.5,True,0.05436037413164455,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,0.5,True,0.0646605881648419,0.35,4.299999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,0.9,True,0.06358775954991466,0.35,4.299999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,1.3,True,0.06275054809679212,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,1.7000000000000002,True,0.062047492206034095,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,2.1,True,0.06145116844199571,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.5,2.5,True,0.0609085250070236,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,0.5,True,0.06358775954991466,0.35,4.299999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,0.9,True,0.062027784524972866,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,1.3,True,0.06084980791118967,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,1.7000000000000002,True,0.0599153464045847,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,2.1,True,0.05914783202909493,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,0.9,2.5,True,0.0584875394681772,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,1.3,0.5,True,0.06275054809679212,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,1.3,0.9,True,0.06084980791118967,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,1.3,1.3,True,0.059455378533019486,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,1.3,1.7000000000000002,True,0.05852652995219225,0.35,4.249999999999993
0.15000000000000002,0.01,0.3221592653589793,1.3,2.1,True,0.05778766448147692,0.35,4.249999999999993
