Distance,Velocity,Theta,gamma0,gamma1,No Collision,Safety Loss,Deadlock Time,Simulation Time
0.1999999999999999,0.01,0.0,0.01,0.01,True,0.0617316346867347,59.99999999999873,59.99999999999873
0.1999999999999999,0.01,0.0,0.01,0.6080000000000001,True,0.0617316043949302,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,0.01,1.2060000000000002,True,0.0617316097075974,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,0.01,1.8040000000000005,True,0.06173071246501,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,0.01,2.402,True,0.060860983338021,7.79999999999998,19.100000000000136
0.1999999999999999,0.01,0.0,0.01,3.0,True,0.0578242712307816,3.349999999999996,15.85000000000009
0.1999999999999999,0.01,0.0,0.6080000000000001,0.01,True,0.0617316043949302,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,0.6080000000000001,0.6080000000000001,True,0.0599225206368874,0.35,8.14999999999998
0.1999999999999999,0.01,0.0,0.6080000000000001,1.2060000000000002,True,0.0584837048010264,0.35,8.299999999999983
0.1999999999999999,0.01,0.0,0.6080000000000001,1.8040000000000005,True,0.0572293002075827,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,0.6080000000000001,2.402,True,0.0561961655910189,0.35,8.349999999999984
0.1999999999999999,0.01,0.0,0.6080000000000001,3.0,True,0.05519470949212,0.35,8.349999999999984
0.1999999999999999,0.01,0.0,1.2060000000000002,0.01,True,0.0617316097075974,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,1.2060000000000002,0.6080000000000001,True,0.0584837048010264,0.35,8.299999999999983
0.1999999999999999,0.01,0.0,1.2060000000000002,1.2060000000000002,True,0.0559913202394854,0.35,8.299999999999983
0.1999999999999999,0.01,0.0,1.2060000000000002,1.8040000000000005,True,0.0536791693894173,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,1.2060000000000002,2.402,True,0.051667687797666,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,1.2060000000000002,3.0,True,0.0498939894402088,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,1.8040000000000005,0.01,True,0.06173071246501,54.09999999999906,59.99999999999873
0.1999999999999999,0.01,0.0,1.8040000000000005,0.6080000000000001,True,0.0572293002075827,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,1.8040000000000005,1.2060000000000002,True,0.0536791693894173,0.35,8.249999999999982
0.1999999999999999,0.01,0.0,1.8040000000000005,1.8040000000000005,True,0.0506904908829094,0.35,8.249999999999982
